item_id,llm_score_5_mean,llm_score_5_sd,llm_侧重性_mean,llm_公平性_mean,llm_反馈性_mean,llm_可解性_mean,llm_完整性_mean,llm_思维性_mean,llm_排他性_mean,llm_明确性_mean,llm_正确性_mean,llm_流畅性_mean,llm_目标性_mean,llm_答案解析专门评分_mean,llm_绝对性_mean,llm_综合性_mean,llm_迷惑性_mean,llm_防猜性_mean,machine_proxy_answer_validity_mean,machine_proxy_blueprint_relevance_mean,machine_proxy_cognitive_feedback_mean,machine_proxy_item_design_mean,machine_proxy_presentation_clarity_mean,machine_proxy_quality_score_mean,machine_proxy_quality_score_sd,n_machine_runs,qgeval_score_5_mean,qgeval_score_5_sd,qgeval_一致性_mean,qgeval_可回答性_mean,qgeval_流畅性_mean,qgeval_清晰度_mean,qgeval_相关性_mean,qgeval_答案一致性_mean,qgeval_简洁性_mean,screen_critical_defect_proxy,screen_major_defect_proxy,source_true
M001,3.90625,0.0625,4.0,3.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,3.75,3.75,5.0,4.75,2.5,4.166666666666666,4.777777777777778,4.238888888888889,0.06666666666666687,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS
M002,3.640625,0.05983919423477113,4.0,3.0,3.0,5.0,3.5,1.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,1.25,3.75,3.75,5.0,4.5,2.0625,3.6666666666666665,4.777777777777778,4.001388888888888,0.05989960736902175,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS
M003,4.15625,0.03608439182435161,3.75,3.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.75,5.0,4.6875,3.6666666666666665,4.25,4.777777777777778,4.476388888888889,0.03435921354681404,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS
M004,4.375,0.05103103630798288,4.0,3.0,3.75,5.0,5.0,3.25,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.75,3.9375,5.0,4.736111111111111,4.684722222222222,0.061425956631933024,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS
M005,4.3125,0.08838834764831845,3.75,3.0,3.75,5.0,5.0,3.0,4.75,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.75,5.0,4.958333333333333,4.6875,3.8541666666666665,4.916666666666667,4.652777777777778,4.613888888888889,0.10671873729054733,4,4.892857142857142,0.13677530110804828,5.0,5.0,5.0,4.75,5.0,4.75,4.75,0,0,MAS
M006,3.890625,0.03125,4.0,3.0,3.75,5.0,3.5,2.0,4.75,3.0,5.0,5.0,4.0,4.0,5.0,2.25,4.0,4.0,5.0,4.5,3.083333333333333,3.833333333333333,4.694444444444445,4.222222222222222,0.0235702260395515,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS
M007,3.84375,0.03608439182435161,3.75,3.0,4.0,5.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,3.75,5.0,4.6875,2.5,4.25,4.611111111111112,4.209722222222222,0.03435921354681389,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS
M008,4.34375,0.03608439182435161,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.75,4.75,5.0,4.75,3.9166666666666665,4.833333333333334,4.777777777777778,4.655555555555555,0.03849001794597492,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS
M009,4.34375,0.03608439182435161,4.0,3.0,4.0,5.0,4.5,3.25,5.0,3.0,5.0,5.0,5.0,4.25,5.0,4.0,4.75,4.75,5.0,4.75,4.0625,4.666666666666666,4.777777777777778,4.651388888888889,0.04383259399460926,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS
M010,4.359375,0.07864410870073697,5.0,3.0,4.0,5.0,4.5,4.0,5.0,3.0,5.0,5.0,5.0,4.25,4.0,5.0,4.0,4.0,4.791666666666666,5.0,4.5625,4.166666666666666,4.777777777777778,4.659722222222222,0.07742977702647975,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,MAS
